asset_id,status,operation_type,message
"64ca0ce7ef326477","failed","unknown","Illegal id"
"3372192c9e5ac961","failed","unknown","Illegal id"
"6a23d3a18ee9a264","failed","unknown","Illegal id"
"016e933862ca2388","failed","unknown","Illegal id"
"fd7cd83dd47f111a","failed","unknown","Illegal id"
"0ff9d63483cd6b50","failed","unknown","Illegal id"
"c7243dbd0021ba4c","failed","unknown","Illegal id"
"aa3ec13bbe4cca33","failed","unknown","Illegal id"
"ffc03633264bddd4","failed","unknown","Illegal id"
"eed55092ff76588b","failed","unknown","Illegal id"
"563ebc5baf4dfde7","failed","unknown","Illegal id"
"c730a03fe5960e75","failed","unknown","Illegal id"
"f7611c76569864b3","failed","unknown","Illegal id"
"c82a5fe63e1c0265","failed","unknown","Illegal id"
"c9c163c5cc7c1847","failed","unknown","Illegal id"
"a1842b78a184e934","failed","unknown","Illegal id"
"bc691fe7320ed162","failed","unknown","Illegal id"
"3ed2a21f1a914563","failed","unknown","Illegal id"
"a81d24ce7b213d37","failed","unknown","Illegal id"
"eb8301e936583f03","failed","unknown","Illegal id"
"8722c54cb46fe854","failed","unknown","Illegal id"
"563ea2af3a50296b","failed","unknown","Illegal id"
"598f70b0c4d46336","failed","unknown","Illegal id"
"93fdbd8413b7ab86","failed","unknown","Illegal id"
"cc82cee95cfef596","failed","unknown","Illegal id"
"1fe5a7565ab58535","failed","unknown","Illegal id"
"f444d552afd6dddc","failed","unknown","Illegal id"
"ba930cef71fd70f9","failed","unknown","Illegal id"
"f502eef6b7156695","failed","unknown","Illegal id"
"61472cc2bacf329f","failed","unknown","Illegal id"
"c8b6415dd63502d5","failed","unknown","Illegal id"
"83c2ef887e5d5f56","failed","unknown","Illegal id"
"b3bc7df08bf3d338","failed","unknown","Illegal id"
"de55ca8d4ae6c5d1","failed","unknown","Illegal id"
"98b8def6f4f88fbe","failed","unknown","Illegal id"
"e9276f837d97d89c","failed","unknown","Illegal id"
"4710561c0a5ebe5c","failed","unknown","Illegal id"
"fb9b6472bb18c01c","failed","unknown","Illegal id"
"a289a79914a47f28","failed","unknown","Illegal id"
"934107f51adaafbe","failed","unknown","Illegal id"
"712b4900c3a7d297","failed","unknown","Illegal id"
"3f2d70516c424c8c","failed","unknown","Illegal id"
"222d39103309a8e4","failed","unknown","Illegal id"
"38b7abd3935af89e","failed","unknown","Illegal id"
"034c9f66c60b9ed1","failed","unknown","Illegal id"
"259612aade4b0361","failed","unknown","Illegal id"
"3ae45ea226f981ca","failed","unknown","Illegal id"
"77e4e84b0d7f3a8f","failed","unknown","Illegal id"
"61576b3449d2c61f","failed","unknown","Illegal id"
"a5282785a793beeb","failed","unknown","Illegal id"
"6ce305abc45e7b2a","failed","unknown","Illegal id"
"7a7995a0839b045e","failed","unknown","Illegal id"
"36d49e1121310684","failed","unknown","Illegal id"
"686932ea431dd2d1","failed","unknown","Illegal id"
"b10db0cd228257ba","failed","unknown","Illegal id"
"a63de729a7326dbf","failed","unknown","Illegal id"
"e00f3830ed712041","failed","unknown","Illegal id"
"5fe1a7c5d3546f86","failed","unknown","Illegal id"
"822e8a4e9ede9a56","failed","unknown","Illegal id"
"d0aa6ad6a7286429","failed","unknown","Illegal id"
"12ce504d76aa7329","failed","unknown","Illegal id"
"62c6ff900876a1de","failed","unknown","Illegal id"
"1e4e51d3d735639d","failed","unknown","Illegal id"
"48447f3f0034745b","failed","unknown","Illegal id"
"db60211f279a730c","failed","unknown","Illegal id"
"d5442c0032b9f3fa","failed","unknown","Illegal id"
"afe3c0ab37d70a31","failed","unknown","Illegal id"
"864e2d77a8f052b2","failed","unknown","Illegal id"
"ed955fc36c718510","failed","unknown","Illegal id"
"15a4f8e457852c23","failed","unknown","Illegal id"
"f7b6dc72a3cfb58b","failed","unknown","Illegal id"
"a404be723ea357ac","failed","unknown","Illegal id"
"162351a49b396ff2","failed","unknown","Illegal id"
"7d5c48064a2760d2","failed","unknown","Illegal id"
"c1d78633c203a9d9","failed","unknown","Illegal id"
"d8d24d680b9358fd","failed","unknown","Illegal id"
"d7a9aec8029eae5e","failed","unknown","Illegal id"
"243c1b021b8bc4bd","failed","unknown","Illegal id"
"040008fdaa54834b","failed","unknown","Illegal id"
"0f39f4785720691b","failed","unknown","Illegal id"
"02d8324f22e11426","failed","unknown","Illegal id"
"55455b44d97154a2","failed","unknown","Illegal id"
"aed1abc784785221","failed","unknown","Illegal id"
"b1f5be43b6691548","failed","unknown","Illegal id"
"c5ce0bed5c9f9d99","failed","unknown","Illegal id"
"c4104f2f2f0a3027","failed","unknown","Illegal id"
"e76b28391d409ef2","failed","unknown","Illegal id"
"5eed55313b5688b2","failed","unknown","Illegal id"
"63e7ae4f9d209d0b","failed","unknown","Illegal id"
"49669afa29b2e550","failed","unknown","Illegal id"
